<block:absentbydesign:fence_log_acacia>, Acacia Log Fence
<block:taiga:molten_dilithium_fluid>, Dilithium Fluid
<block:taiga:molten_duranite_fluid>, Duranite Fluid
<block:taiga:molten_dyonite_fluid>, Dyonite Fluid
<block:taiga:molten_eezo_fluid>, Eezo Fluid
<block:taiga:molten_emberium_fluid>, Emberium Fluid
<block:taiga:molten_fractum_fluid>, Fractum Fluid
<block:taiga:molten_ignitz_fluid>, Ignitz Fluid
<block:taiga:molten_imperomite_fluid>, Imperomite Fluid
<block:taiga:molten_iox_fluid>, Iox Fluid
<block:taiga:molten_jauxum_fluid>, Jauxum Fluid
<block:taiga:molten_karmesine_fluid>, Karmesine Fluid
<block:taiga:molten_lumix_fluid>, Lumix Fluid
<block:taiga:molten_magma_fluid>, Magma Fluid
<block:taiga:molten_meteorite_fluid>, Meteorite Fluid
<block:taiga:molten_nihilite_fluid>, Nihilite Fluid
<block:taiga:molten_niob_fluid>, Niob Fluid
<block:taiga:molten_nitronite_fluid>, Nitronite Fluid
<block:taiga:molten_nucleum_fluid>, Nucleum Fluid
<block:taiga:molten_obsidiorite_fluid>, Obsidiorite Fluid
<block:taiga:molten_osram_fluid>, Osram Fluid
<block:taiga:molten_ovium_fluid>, Ovium Fluid
<block:taiga:molten_palladium_fluid>, Palladium Fluid
<block:taiga:molten_prometheum_fluid>, Prometheum Fluid
<block:taiga:molten_proxii_fluid>, Proxii Fluid
<block:taiga:molten_psychonium_fluid>, Psychonium Fluid
<block:taiga:molten_pure_fluid>, Pure Fluid
<block:taiga:molten_seismum_fluid>, Seismum Fluid
<block:taiga:molten_skylerite_fluid>, Skylerite Fluid
<block:taiga:molten_solarium_fluid>, Solarium Fluid
<block:taiga:molten_terrax_fluid>, Terrax Fluid
<block:taiga:molten_tiberium_fluid>, Tiberium Fluid
<block:taiga:molten_triberium_fluid>, Triberium Fluid
<block:taiga:molten_tritonite_fluid>, Tritonite Fluid
<block:taiga:molten_uru_fluid>, Uru Fluid
<block:taiga:molten_valyrium_fluid>, Valyrium Fluid
<block:taiga:molten_vatuunium_fluid>, Vatuunium Fluid
<block:taiga:molten_vibranium_fluid>, Vibranium Fluid
<block:taiga:molten_violium_fluid>, Violium Fluid
<block:taiga:molten_yrdeen_fluid>, Yrdeen Fluid
<block:taiga:nihilite_block>, Nihilite Block
<block:taiga:niob_block>, Niob Block
<block:taiga:nucleum_block>, Nucleum Block
<block:taiga:obsidiorite_block>, Obsidiorite Block
<block:taiga:obsidioritecobble_block>, Meteorite Cobble Block
<block:taiga:osram_block>, Osram Block
<block:taiga:osram_ore>, Osram Ore
<block:taiga:ovium_block>, Ovium Block
<block:taiga:ovium_ore>, Ovium Ore
<block:taiga:palladium_block>, Palladium Block
<block:taiga:palladium_ore>, Palladium Ore
<block:taiga:prometheum_block>, Prometheum Block
<block:taiga:prometheum_ore>, Prometheum Ore
<block:taiga:proxii_block>, Proxii Block
<block:taiga:psychonium_block>, Psychonium Block
<block:taiga:psychonium_ore>, Psychonium Ore
<block:taiga:pure_block>, Pure Block
<block:taiga:pure_ore>, Pure Ore
<block:taiga:seismum_block>, Seismum Block
<block:taiga:skylerite_block>, Skylerite Block
<block:taiga:skylerite_ore>, Skylerite Ore
<block:taiga:solarium_block>, Solarium Block
<block:taiga:terrax_block>, Terrax Block
<block:taiga:tiberium_block>, Tiberium Block
<block:taiga:tiberium_ore>, Tiberium Ore
<block:taiga:triberium_block>, Triberium Block
<block:taiga:tritonite_block>, Tritonite Block
<block:taiga:uru_block>, Uru Block
<block:taiga:uru_ore>, Uru Ore
<block:taiga:valyrium_block>, Valyrium Block
<block:taiga:valyrium_ore>, Valyrium Ore
<block:taiga:vatuunium_block>, Vatuunium Block
<block:taiga:vatuunium_ore>, Vatuunium Ore
<block:taiga:vibranium_block>, Vibranium Block
<block:taiga:vibranium_ore>, Vibranium Ore
<block:taiga:violium_block>, Violium Block
<block:taiga:yrdeen_block>, Yrdeen Block
<block:tcomplement:alloy_tank>, Alloy Tank
<block:tcomplement:high_oven_controller>, High Oven Controller
<block:tcomplement:high_oven_io>, tile.tcomplement.high_oven_io.name
<block:tcomplement:liquid_chocolate_liquor>, fluid.tcomplement.chocolate_liquor.name
<block:tcomplement:liquid_dark_chocolate>, fluid.tcomplement.dark_chocolate.name
<block:tcomplement:liquid_milk_chocolate>, fluid.tcomplement.milk_chocolate.name
<block:tcomplement:liquid_steam>, fluid.steam.name
<block:tcomplement:melter>, tile.tcomplement.melter.name
<block:tcomplement:scorched_block>, tile.tcomplement.scorched_block.name
<block:tcomplement:scorched_casting>, tile.tcomplement.scorched_casting.name
<block:tcomplement:scorched_channel>, Scorched Channel
<block:tcomplement:scorched_faucet>, Scorched Faucet
<block:tcomplement:scorched_slab>, tile.tcomplement.scorched_slab.name
<block:tcomplement:scorched_slab2>, tile.tcomplement.scorched_slab2.name
<block:tcomplement:scorched_stairs_brick>, Scorched Bricks Stairs
<block:tcomplement:scorched_stairs_brick_cracked>, Cracked Scorched Bricks Stairs
<block:tcomplement:scorched_stairs_brick_fancy>, Fancy Scorched Bricks Stairs
<block:tcomplement:scorched_stairs_brick_small>, Small Scorched Bricks Stairs
<block:tcomplement:scorched_stairs_brick_square>, Square Scorched Bricks Stairs
<block:tcomplement:scorched_stairs_brick_triangle>, Triangle Scorched Bricks Stairs
<block:tcomplement:scorched_stairs_cobble>, Scorched Cobblestone Stairs
<block:tcomplement:scorched_stairs_creeper>, Scorched Creeperface Stairs
<block:tcomplement:scorched_stairs_paver>, Scorched Paver Stairs
<block:tcomplement:scorched_stairs_road>, Scorched Road Stairs
<block:tcomplement:scorched_stairs_stone>, Scorched Stone Stairs
<block:tcomplement:scorched_stairs_tile>, Scorched Tile Stairs
<block:tcomplement:storage>, tile.tcomplement.storage.name
<block:tconstruct:blood>, fluid.blood.name
<block:tconstruct:blueslime>, Liquid Blue Slime
<block:tconstruct:brownstone>, tile.tconstruct.brownstone.name
<block:tconstruct:brownstone_slab>, tile.tconstruct.brownstone_slab.name
<block:tconstruct:brownstone_slab2>, tile.tconstruct.brownstone_slab2.name
<block:tconstruct:brownstone_stairs_brick>, Brownstone Bricks Stairs
<block:tconstruct:brownstone_stairs_brick_cracked>, Cracked Brownstone Bricks Stairs
<block:tconstruct:brownstone_stairs_brick_fancy>, Fancy Brownstone Bricks Stairs
<block:tconstruct:brownstone_stairs_brick_small>, Small Brownstone Bricks Stairs
<block:tconstruct:brownstone_stairs_brick_square>, Square Brownstone Bricks Stairs
<block:tconstruct:brownstone_stairs_brick_triangle>, Triangle Brownstone Bricks Stairs
<block:tconstruct:brownstone_stairs_creeper>, Brownstone Creeperface Stairs
<block:tconstruct:brownstone_stairs_paver>, Brownstone Paver Stairs
<block:tconstruct:brownstone_stairs_road>, Brownstone Road Stairs
<block:tconstruct:brownstone_stairs_rough>, Rough Brownstone Stairs
<block:tconstruct:brownstone_stairs_smooth>, Smooth Brownstone Stairs
<block:tconstruct:brownstone_stairs_tile>, Brownstone Tile Stairs
<block:tconstruct:casting>, tile.tconstruct.casting.name
<block:tconstruct:channel>, Casting Channel
<block:tconstruct:clear_glass>, Clear Glass
<block:tconstruct:clear_stained_glass>, tile.tconstruct.clear_stained_glass.name
<block:tconstruct:deco_ground>, tile.tconstruct.deco_ground.name
<block:tconstruct:deco_ground_slab>, tile.tconstruct.deco_ground_slab.name
<block:tconstruct:dried_brick_stairs>, Dried Bricks Stairs
<block:tconstruct:dried_clay>, tile.tconstruct.dried_clay.name
<block:tconstruct:dried_clay_slab>, tile.tconstruct.dried_clay_slab.name
<block:tconstruct:dried_clay_stairs>, Dried Clay Stairs
<block:tconstruct:faucet>, Seared Faucet
<block:tconstruct:firewood>, tile.tconstruct.firewood.name
<block:tconstruct:firewood_slab>, tile.tconstruct.firewood_slab.name
<block:tconstruct:firewood_stairs>, Firewood Stairs
<block:tconstruct:glow>, Glow
<block:tconstruct:lavawood_stairs>, Lavawood Stairs
<block:tconstruct:metal>, tile.tconstruct.metal.name
<block:tconstruct:milk>, Milk
<block:tconstruct:molten_alubrass>, Molten Aluminum Brass
<block:tconstruct:molten_aluminum>, Molten Aluminum
<block:tconstruct:molten_ardite>, Molten Ardite
<block:tconstruct:molten_blutonium>, Molten Blutonium
<block:tconstruct:molten_brass>, Molten Brass
<block:tconstruct:molten_bronze>, Molten Bronze
<block:tconstruct:molten_clay>, Molten Clay
<block:tconstruct:molten_cobalt>, Molten Cobalt
<block:tconstruct:molten_copper>, Molten Copper
<block:tconstruct:molten_dirt>, Liquid Dirt
<block:tconstruct:molten_ebonypsi>, Molten Ebony Psimetal
<block:tconstruct:molten_electrum>, Molten Electrum
<block:tconstruct:molten_elvenelementium>, Molten Elementium
<block:tconstruct:molten_emerald>, Molten Emerald
<block:tconstruct:molten_glass>, Molten Glass
<block:tconstruct:molten_gold>, Molten Gold
<block:tconstruct:molten_invar>, Molten Invar
<block:tconstruct:molten_iron>, Molten Iron
<block:tconstruct:molten_ivorypsi>, Molten Ivory Psimetal
<block:tconstruct:molten_knightslime>, Molten Knightslime
<block:tconstruct:molten_lead>, Molten Lead
<block:tconstruct:molten_manasteel>, Molten Manasteel
<block:tconstruct:molten_manyullyn>, Molten Manyullyn
<block:tconstruct:molten_mithril>, Molten Mithril
<block:tconstruct:molten_nickel>, Molten Nickel
<block:tconstruct:molten_obsidian>, Molten Obsidian
<block:tconstruct:molten_osmium>, Molten Osmium
<block:tconstruct:molten_pigiron>, Molten Pigiron
<block:tconstruct:molten_psi>, Molten Psimetal
<block:tconstruct:molten_refinedglowstone>, Molten Refined Glowstone
<block:tconstruct:molten_refinediron>, Molten Refined Iron
<block:tconstruct:molten_refinedobsidian>, Molten Refined Obsidian
<block:tconstruct:molten_silver>, Molten Silver
<block:tconstruct:molten_steel>, Molten Steel
<block:tconstruct:molten_stone>, Seared Stone
<block:tconstruct:molten_terrasteel>, Molten Terrasteel
<block:tconstruct:molten_tin>, Molten Tin
<block:tconstruct:molten_zinc>, Molten Zinc
<block:tconstruct:mudbrick_stairs>, Mud Bricks Stairs
<block:tconstruct:ore>, tile.tconstruct.ore.name
<block:tconstruct:punji>, Punji Sticks
<block:tconstruct:purpleslime>, Liquid Purple Slime
<block:tconstruct:rack>, tile.tconstruct.rack.name
<block:tconstruct:seared>, tile.tconstruct.seared.name
<block:tconstruct:seared_furnace_controller>, Seared Furnace Controller
<block:tconstruct:seared_glass>, tile.tconstruct.seared_glass.name
<block:tconstruct:seared_slab>, tile.tconstruct.seared_slab.name
<block:tconstruct:seared_slab2>, tile.tconstruct.seared_slab2.name
<block:tconstruct:seared_stairs_brick>, Seared Bricks Stairs
<block:tconstruct:seared_stairs_brick_cracked>, Cracked Seared Bricks Stairs
<block:tconstruct:seared_stairs_brick_fancy>, Fancy Seared Bricks Stairs
<block:tconstruct:seared_stairs_brick_small>, Small Seared Bricks Stairs
<block:tconstruct:seared_stairs_brick_square>, Square Seared Bricks Stairs
<block:tconstruct:seared_stairs_brick_triangle>, Triangle Seared Bricks Stairs
<block:tconstruct:seared_stairs_cobble>, Seared Cobblestone Stairs
<block:tconstruct:seared_stairs_creeper>, Seared Creeperface Stairs
<block:tconstruct:seared_stairs_paver>, Seared Paver Stairs
<block:tconstruct:seared_stairs_road>, Seared Road Stairs
<block:tconstruct:seared_stairs_stone>, Seared Stone Stairs
<block:tconstruct:seared_stairs_tile>, Seared Tile Stairs
<block:tconstruct:seared_tank>, tile.tconstruct.seared_tank.name
<block:tconstruct:slime>, tile.tconstruct.slime.name
<block:tconstruct:slime_channel>, tile.tconstruct.slime_channel.name
<block:tconstruct:slime_congealed>, tile.tconstruct.slime_congealed.name
<block:tconstruct:slime_dirt>, tile.tconstruct.slime_dirt.name
<block:tconstruct:slime_grass>, tile.tconstruct.slime_grass.name
<block:tconstruct:slime_grass_tall>, tile.tconstruct.slime_grass_tall.name
<block:tconstruct:slime_leaves>, tile.tconstruct.slime_leaves.name
<block:tconstruct:slime_sapling>, tile.tconstruct.slime_sapling.oak.name
<block:tconstruct:slime_vine_blue>, Blue Slimy Vine
<block:tconstruct:slime_vine_blue_end>, Blue Slimy Vine
<block:tconstruct:slime_vine_blue_mid>, Blue Slimy Vine
<block:tconstruct:slime_vine_purple>, Purple Slimy Vine
<block:tconstruct:slime_vine_purple_end>, Purple Slimy Vine
<block:tconstruct:slime_vine_purple_mid>, Purple Slimy Vine
<block:tconstruct:smeltery_controller>, Smeltery Controller
<block:tconstruct:smeltery_io>, tile.tconstruct.smeltery_io.name
<block:tconstruct:soil>, tile.tconstruct.soil.name
<block:tconstruct:stone_ladder>, Stone Ladder
<block:tconstruct:stone_torch>, Stone Torch
<block:tconstruct:tinker_tank_controller>, Tinker Tank Controller
<block:tconstruct:toolforge>, Tool Forge
<block:tconstruct:tooltables>, tile.tconstruct.tooltables.name
<block:tconstruct:wood_rail>, Wooden Rail
<block:tconstruct:wood_rail_trapdoor>, Wooden Rail with a Trapdoor
<block:tconstruct:wooden_hopper>, Wooden Hopper
<block:thaumadditions:adaminite_block>, Adaminite Block
<block:thaumadditions:adaminite_smelter>, Adaminite Smeltery
<block:thaumadditions:amber_lamp>, Amber Lamp
<block:thaumadditions:aspect_combiner>, Essentia Combiner
<block:thaumadditions:aura_charger>, Aura Charger
<block:thaumadditions:aura_disperser>, Aura Disperser
<block:thaumadditions:brass_plated_silverwood>, Brass Plated Silverwood
<block:thaumadditions:cake>, Arcane Cake
<block:thaumadditions:chiseled_amber_block>, Chiseled Amber Block
<block:thaumadditions:crystal_block>, @ASPECT Crystal Block
<block:thaumadditions:crystal_bore>, Crystal Bore
<block:thaumadditions:crystal_crusher>, Crystal Crusher
<block:thaumadditions:crystal_water>, tile.thaumadditions:crystal_water.name
<block:thaumadditions:dawn_totem>, Totem of Dawn
<block:thaumadditions:entity_summoner>, Entity Summoner
<block:thaumadditions:essentia_sink>, Essentia Sink
<block:thaumadditions:flux_concentrator>, Flux Concentrator
<block:thaumadditions:growth_chamber>, Crystal Growth Chamber
<block:thaumadditions:iron_framed_greatwood>, Iron Framed Greatwood
<block:thaumadditions:jar_adaminite>, Adaminite Foritified Jar
<block:thaumadditions:jar_brass>, Brass Warded Jar
<block:thaumadditions:jar_eldritch>, Void Foritified Jar
<block:thaumadditions:jar_mithminite>, Mithminite Jar
<block:thaumadditions:jar_mithrillium>, Mithrillium Reinforced Jar
<block:thaumadditions:jar_thaumium>, Thaumium Reinforced Jar
<block:thaumadditions:mithminite_block>, Mithminite Block
<block:thaumadditions:mithminite_smelter>, Mithminite Smeltery
<block:thaumadditions:mithrillium_block>, Mithrillium Block
<block:thaumadditions:mithrillium_smelter>, Mithrillium Smeltery
<block:thaumadditions:null>, tile.thaumadditions:null.name
<block:thaumadditions:puriflower>, Puriflower
<block:thaumadditions:seal>, Arcane Seal
<block:thaumadditions:shadow_enchanter>, Shadow Enchanter
<block:thaumadditions:taintkin>, Taintkin
<block:thaumadditions:taintkin_lit>, Taint o' Lantern
<block:thaumadditions:taintwood_planks>, Taintwood Planks
<block:thaumadditions:thaumic_lectern>, Thaumonomicon Lectern
<block:thaumadditions:twilight_totem>, Twilight Totem
<block:thaumadditions:vis_crop/aer>, tile.thaumadditions:vis_crop/aer.name
<block:thaumadditions:vis_crop/alienis>, tile.thaumadditions:vis_crop/alienis.name
<block:thaumadditions:vis_crop/alkimia>, tile.thaumadditions:vis_crop/alkimia.name
<block:thaumadditions:vis_crop/aqua>, tile.thaumadditions:vis_crop/aqua.name
<block:thaumadditions:vis_crop/auram>, tile.thaumadditions:vis_crop/auram.name
<block:thaumadditions:vis_crop/aversio>, tile.thaumadditions:vis_crop/aversio.name
<block:thaumadditions:vis_crop/bestia>, tile.thaumadditions:vis_crop/bestia.name
<block:thaumadditions:vis_crop/caeles>, tile.thaumadditions:vis_crop/caeles.name
<block:thaumadditions:vis_crop/cognitio>, tile.thaumadditions:vis_crop/cognitio.name
<block:thaumadditions:vis_crop/corpus>, tile.thaumadditions:vis_crop/corpus.name
<block:thaumadditions:vis_crop/desiderium>, tile.thaumadditions:vis_crop/desiderium.name
<block:thaumadditions:vis_crop/desidia>, tile.thaumadditions:vis_crop/desidia.name
<block:thaumadditions:vis_crop/draco>, tile.thaumadditions:vis_crop/draco.name
<block:thaumadditions:vis_crop/exanimis>, tile.thaumadditions:vis_crop/exanimis.name
<block:thaumadditions:vis_crop/exitium>, tile.thaumadditions:vis_crop/exitium.name
<block:thaumadditions:vis_crop/fabrico>, tile.thaumadditions:vis_crop/fabrico.name
<block:thaumadditions:vis_crop/fames>, tile.thaumadditions:vis_crop/fames.name
<block:thaumadditions:vis_crop/fluctus>, tile.thaumadditions:vis_crop/fluctus.name
<block:thaumadditions:vis_crop/gelum>, tile.thaumadditions:vis_crop/gelum.name
<block:thaumadditions:vis_crop/gula>, tile.thaumadditions:vis_crop/gula.name
<block:thaumadditions:vis_crop/herba>, tile.thaumadditions:vis_crop/herba.name
<block:thaumadditions:vis_crop/humanus>, tile.thaumadditions:vis_crop/humanus.name
<block:thaumadditions:vis_crop/ignis>, tile.thaumadditions:vis_crop/ignis.name
<block:thaumadditions:vis_crop/imperium>, tile.thaumadditions:vis_crop/imperium.name
<block:thaumadditions:vis_crop/infernum>, tile.thaumadditions:vis_crop/infernum.name
<block:thaumadditions:vis_crop/infernus>, tile.thaumadditions:vis_crop/infernus.name
<block:thaumadditions:vis_crop/instrumentum>, tile.thaumadditions:vis_crop/instrumentum.name
<block:thaumadditions:vis_crop/invidia>, tile.thaumadditions:vis_crop/invidia.name
<block:thaumadditions:vis_crop/ira>, tile.thaumadditions:vis_crop/ira.name
<block:thaumadditions:vis_crop/lux>, tile.thaumadditions:vis_crop/lux.name
<block:thaumadditions:vis_crop/luxuria>, tile.thaumadditions:vis_crop/luxuria.name
<block:thaumadditions:vis_crop/machina>, tile.thaumadditions:vis_crop/machina.name
<block:thaumadditions:vis_crop/metallum>, tile.thaumadditions:vis_crop/metallum.name
<block:thaumadditions:vis_crop/mortuus>, tile.thaumadditions:vis_crop/mortuus.name
<block:thaumadditions:vis_crop/motus>, tile.thaumadditions:vis_crop/motus.name
<block:thaumadditions:vis_crop/ordo>, tile.thaumadditions:vis_crop/ordo.name
<block:thaumadditions:vis_crop/perditio>, tile.thaumadditions:vis_crop/perditio.name
<block:thaumadditions:vis_crop/permutatio>, tile.thaumadditions:vis_crop/permutatio.name
<block:thaumadditions:vis_crop/potentia>, tile.thaumadditions:vis_crop/potentia.name
<block:thaumadditions:vis_crop/praecantatio>, tile.thaumadditions:vis_crop/praecantatio.name
<block:thaumadditions:vis_crop/praemunio>, tile.thaumadditions:vis_crop/praemunio.name
<block:thaumadditions:vis_crop/sensus>, tile.thaumadditions:vis_crop/sensus.name
<block:thaumadditions:vis_crop/sonus>, tile.thaumadditions:vis_crop/sonus.name
<block:thaumadditions:vis_crop/spiritus>, tile.thaumadditions:vis_crop/spiritus.name
<block:thaumadditions:vis_crop/superbia>, tile.thaumadditions:vis_crop/superbia.name
<block:thaumadditions:vis_crop/tenebrae>, tile.thaumadditions:vis_crop/tenebrae.name
<block:thaumadditions:vis_crop/terra>, tile.thaumadditions:vis_crop/terra.name
<block:thaumadditions:vis_crop/vacuos>, tile.thaumadditions:vis_crop/vacuos.name
<block:thaumadditions:vis_crop/ventus>, tile.thaumadditions:vis_crop/ventus.name
<block:thaumadditions:vis_crop/victus>, tile.thaumadditions:vis_crop/victus.name
<block:thaumadditions:vis_crop/vinculum>, tile.thaumadditions:vis_crop/vinculum.name
<block:thaumadditions:vis_crop/visum>, tile.thaumadditions:vis_crop/visum.name
<block:thaumadditions:vis_crop/vitium>, tile.thaumadditions:vis_crop/vitium.name
<block:thaumadditions:vis_crop/vitreus>, tile.thaumadditions:vis_crop/vitreus.name
<block:thaumadditions:vis_crop/volatus>, tile.thaumadditions:vis_crop/volatus.name
<block:thaumadditions:void_anvil>, Void Anvil
<block:thaumadditions:void_crop>, tile.thaumadditions:void_crop.name
<block:thaumcraft:activator_rail>, Arcane Activator Rail
<block:thaumcraft:alembic>, Arcane Alembic
<block:thaumcraft:amber_block>, Amber Block
<block:thaumcraft:amber_brick>, Amber Bricks
<block:thaumcraft:arcane_ear>, Arcane Ear
<block:thaumcraft:arcane_ear_toggle>, Arcane Ear (Toggle)
<block:thaumcraft:arcane_workbench>, Arcane Workbench
<block:thaumcraft:arcane_workbench_charger>, Workbench Charger
<block:thaumcraft:banner_black>, Black Banner
<block:thaumcraft:banner_blue>, Blue Banner
<block:thaumcraft:banner_brown>, Brown Banner
<block:thaumcraft:banner_crimson_cult>, Crimson Cult Banner
<block:thaumcraft:banner_cyan>, Cyan Banner
<block:thaumcraft:banner_gray>, Gray Banner
<block:thaumcraft:banner_green>, Green Banner
<block:thaumcraft:banner_lightblue>, Light Blue Banner
<block:thaumcraft:banner_lime>, Lime Banner
<block:thaumcraft:banner_magenta>, Magenta Banner
<block:thaumcraft:banner_orange>, Orange Banner
<block:thaumcraft:banner_pink>, Pink Banner
<block:thaumcraft:banner_purple>, Purple Banner
<block:thaumcraft:banner_red>, Red Banner
<block:thaumcraft:banner_silver>, Light Gray Banner
<block:thaumcraft:banner_white>, White Banner
<block:thaumcraft:banner_yellow>, Yellow Banner
<block:thaumcraft:barrier>, Warding Aura
<block:thaumcraft:bellows>, Arcane Bellows
<block:thaumcraft:brain_box>, Mnemonic Matrix
<block:thaumcraft:candle_black>, Black Tallow Candle
<block:thaumcraft:candle_blue>, Blue Tallow Candle
<block:thaumcraft:candle_brown>, Brown Tallow Candle
<block:thaumcraft:candle_cyan>, Cyan Tallow Candle
<block:thaumcraft:candle_gray>, Gray Tallow Candle
<block:thaumcraft:candle_green>, Green Tallow Candle
<block:thaumcraft:candle_lightblue>, Light Blue Tallow Candle
<block:thaumcraft:candle_lime>, Lime Tallow Candle
<block:thaumcraft:candle_magenta>, Magenta Tallow Candle
<block:thaumcraft:candle_orange>, Orange Tallow Candle
<block:thaumcraft:candle_pink>, Pink Tallow Candle
<block:thaumcraft:candle_purple>, Purple Tallow Candle
<block:thaumcraft:candle_red>, Red Tallow Candle
<block:thaumcraft:candle_silver>, Light Gray Tallow Candle
<block:thaumcraft:candle_white>, White Tallow Candle
<block:thaumcraft:candle_yellow>, Yellow Tallow Candle
<block:thaumcraft:centrifuge>, Essentia Centrifuge
<block:thaumcraft:cinderpearl>, Cinderpearl
<block:thaumcraft:condenser>, Flux Condenser
<block:thaumcraft:condenser_lattice>, Flux Condenser Lattice
<block:thaumcraft:condenser_lattice_dirty>, Clogged Flux Condenser Lattice
<block:thaumcraft:crucible>, Crucible
<block:thaumcraft:crystal_aer>, Air Crystal
<block:thaumcraft:crystal_aqua>, Water Crystal
<block:thaumcraft:crystal_ignis>, Fire Crystal
<block:thaumcraft:crystal_ordo>, Order Crystal
<block:thaumcraft:crystal_perditio>, Entropy Crystal
<block:thaumcraft:crystal_terra>, Earth Crystal
<block:thaumcraft:crystal_vitium>, Flux Crystal
<block:thaumcraft:dioptra>, Thaumic Dioptra
<block:thaumcraft:effect_glimmer>, Glimmer
<block:thaumcraft:effect_sap>, Sapping Field
<block:thaumcraft:effect_shock>, Static Field
<block:thaumcraft:empty>, Empty Space
<block:thaumcraft:essentia_input>, Filling Essentia Transfuser
<block:thaumcraft:essentia_output>, Emptying Essentia Transfuser
<block:thaumcraft:everfull_urn>, Everfull Urn
<block:thaumcraft:flesh_block>, Block of Flesh
<block:thaumcraft:flux_goo>, Flux Goo
<block:thaumcraft:golem_builder>, Golem Press
<block:thaumcraft:grass_ambient>, Ambient Grass Block
<block:thaumcraft:hole>, Dimensional Tear
<block:thaumcraft:hungry_chest>, Hungry Chest
<block:thaumcraft:infernal_furnace>, Infernal Furnace
<block:thaumcraft:infusion_matrix>, Runic Matrix
<block:thaumcraft:inlay>, Redstone Inlay
<block:thaumcraft:jar_brain>, Brain in a Jar
<block:thaumcraft:jar_normal>, Warded Jar
<block:thaumcraft:jar_void>, Void Jar
<block:thaumcraft:lamp_arcane>, Arcane Lamp
<block:thaumcraft:lamp_fertility>, Lamp of Fertility
<block:thaumcraft:lamp_growth>, Lamp of Growth  
<block:thaumcraft:leaves_greatwood>, Greatwood Leaves
<block:thaumcraft:leaves_silverwood>, Silverwood Leaves
<block:thaumcraft:levitator>, Arcane Levitator
<block:thaumcraft:liquid_death>, Liquid Death
<block:thaumcraft:log_greatwood>, Greatwood Log
<block:thaumcraft:log_silverwood>, Silverwood Log
<block:thaumcraft:loot_crate_common>, Common Crate
<block:thaumcraft:loot_crate_rare>, Rare Crate
<block:thaumcraft:loot_crate_uncommon>, Uncommon Crate
<block:thaumcraft:loot_urn_common>, Common Urn
<block:thaumcraft:loot_urn_rare>, Rare Urn
<block:thaumcraft:loot_urn_uncommon>, Uncommon Urn
<block:thaumcraft:matrix_cost>, Infusion Cost Stone
<block:thaumcraft:matrix_speed>, Infusion Speed Stone
<block:thaumcraft:metal_alchemical>, Alchemical Construct
<block:thaumcraft:metal_alchemical_advanced>, Advanced Alchemical Construct
<block:thaumcraft:metal_brass>, Brass Block
<block:thaumcraft:metal_thaumium>, Thaumium Block
<block:thaumcraft:metal_void>, Void Metal Block
<block:thaumcraft:mirror>, Magic Mirror
<block:thaumcraft:mirror_essentia>, Essentia Mirror
<block:thaumcraft:nitor_black>, Black Nitor
<block:thaumcraft:nitor_blue>, Blue Nitor
<block:thaumcraft:nitor_brown>, Brown Nitor
<block:thaumcraft:nitor_cyan>, Cyan Nitor
<block:thaumcraft:nitor_gray>, Gray Nitor
<block:thaumcraft:nitor_green>, Green Nitor
<block:thaumcraft:nitor_lightblue>, Light Blue Nitor
<block:thaumcraft:nitor_lime>, Lime Nitor
<block:thaumcraft:nitor_magenta>, Magenta Nitor
<block:thaumcraft:nitor_orange>, Orange Nitor
<block:thaumcraft:nitor_pink>, Pink Nitor
<block:thaumcraft:nitor_purple>, Purple Nitor
<block:thaumcraft:nitor_red>, Red Nitor
<block:thaumcraft:nitor_silver>, Light Gray Nitor
<block:thaumcraft:nitor_white>, White Nitor
<block:thaumcraft:nitor_yellow>, Yellow Nitor
<block:thaumcraft:ore_amber>, Amber Bearing Stone
<block:thaumcraft:ore_cinnabar>, Cinnabar Ore
<block:thaumcraft:ore_quartz>, Quartz Ore
<block:thaumcraft:pattern_crafter>, Arcane Pattern Crafter
<block:thaumcraft:paving_stone_barrier>, Barrier Stone
<block:thaumcraft:paving_stone_travel>, Paving Stone of Travel
<block:thaumcraft:pedestal_ancient>, Ancient Pedestal
<block:thaumcraft:pedestal_arcane>, Arcane Pedestal
<block:thaumcraft:pedestal_eldritch>, Eldritch Pedestal
<block:thaumcraft:pillar_ancient>, Ancient Infusion Pillar
<block:thaumcraft:pillar_arcane>, Infusion Pillar
<block:thaumcraft:pillar_eldritch>, Eldritch Infusion Pillar
<block:thaumcraft:placeholder_anvil>, Golem Press
<block:thaumcraft:placeholder_bars>, Golem Press
<block:thaumcraft:placeholder_brick>, Infernal Furnace
<block:thaumcraft:placeholder_cauldron>, Golem Press
<block:thaumcraft:placeholder_obsidian>, Infernal Furnace
<block:thaumcraft:placeholder_table>, Golem Press
<block:thaumcraft:plank_greatwood>, Greatwood Planks
<block:thaumcraft:plank_silverwood>, Silverwood Planks
<block:thaumcraft:potion_sprayer>, Potion Sprayer
<block:thaumcraft:purifying_fluid>, Purifying Fluid
<block:thaumcraft:recharge_pedestal>, Recharge Pedestal
<block:thaumcraft:redstone_relay>, Redstone Relay
<block:thaumcraft:research_table>, Research Table
<block:thaumcraft:sapling_greatwood>, Greatwood Sapling
<block:thaumcraft:sapling_silverwood>, Silverwood Sapling
<block:thaumcraft:shimmerleaf>, Shimmerleaf
